PC,RKTZRA,SG,TB,TC,ZC
BertzCT,BalabanJ,AvgIpc,AvgIpc,AvgIpc,Chi1
Chi1n,Chi1n,BCUT2D_LOGPHI,Chi0,BCUT2D_CHGHI,Chi1n
Chi2n,Chi2v,BCUT2D_MRHI,Chi1,BCUT2D_CHGLO,Chi2v
Chi2v,Kappa2,BalabanJ,Chi2v,BCUT2D_LOGPHI,Chi4v
Chi4n,Kappa3,BertzCT,HeavyAtomMolWt,BCUT2D_LOGPLOW,Kappa2
ExactMolWt,MinAbsPartialCharge,Chi1,Kappa2,BCUT2D_MRHI,MinAbsPartialCharge
MolLogP,MinEStateIndex,Chi1n,MinAbsPartialCharge,BCUT2D_MRLOW,MinEStateIndex
MolMR,NumRotatableBonds,Kappa2,MolLogP,BCUT2D_MWHI,MolLogP
PEOE_VSA5,VSA_EState7,MaxAbsEStateIndex,PEOE_VSA6,BCUT2D_MWLOW,SPS
SPS,VSA_EState8,NumValenceElectrons,VSA_EState7,BalabanJ,SlogP_VSA4
,,,,BertzCT,
,,,,Chi0,
,,,,Chi0n,
,,,,Chi0v,
,,,,Chi1,
,,,,Chi1n,
,,,,Chi1v,
,,,,Chi2n,
,,,,Chi2v,
,,,,Chi3n,
,,,,Chi3v,
,,,,Chi4n,
,,,,Chi4v,
,,,,EState_VSA4,
,,,,EState_VSA5,
,,,,EState_VSA7,
,,,,EState_VSA8,
,,,,EState_VSA9,
,,,,FpDensityMorgan1,
,,,,FpDensityMorgan2,
,,,,FpDensityMorgan3,
,,,,FractionCSP3,
,,,,HallKierAlpha,
,,,,HeavyAtomCount,
,,,,HeavyAtomMolWt,
,,,,Ipc,
,,,,Kappa1,
,,,,Kappa2,
,,,,Kappa3,
,,,,LabuteASA,
,,,,MaxAbsEStateIndex,
,,,,MaxAbsPartialCharge,
,,,,MaxEStateIndex,
,,,,MaxPartialCharge,
,,,,MinAbsEStateIndex,
,,,,MinAbsPartialCharge,
,,,,MinEStateIndex,
,,,,MinPartialCharge,
,,,,MolLogP,
,,,,MolMR,
,,,,NumRotatableBonds,
,,,,NumValenceElectrons,
,,,,PEOE_VSA5,
,,,,PEOE_VSA6,
,,,,PEOE_VSA7,
,,,,PEOE_VSA8,
,,,,SMR_VSA4,
,,,,SMR_VSA5,
,,,,SMR_VSA7,
,,,,SPS,
,,,,SlogP_VSA4,
,,,,SlogP_VSA5,
,,,,SlogP_VSA6,
,,,,VSA_EState2,
,,,,VSA_EState5,
,,,,VSA_EState7,
,,,,VSA_EState8,
,,,,fr_allylic_oxid,
,,,,fr_unbrch_alkane,
,,,,qed,
