repeatingunits,smiles,MolWt
1,OCCO,62.036779432
2,OCCOCCO,106.06299418
3,OCCOCCOCCO,150.089208928
4,OCCOCCOCCOCCO,194.115423676
5,OCCOCCOCCOCCOCCO,238.141638424
6,OCCOCCOCCOCCOCCOCCO,282.16785317200004
7,OCCOCCOCCOCCOCCOCCOCCO,326.19406791999995
8,OCCOCCOCCOCCOCCOCCOCCOCCO,370.2202826679999
9,OCCOCCOCCOCCOCCOCCOCCOCCOCCO,414.2464974159999
10,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,458.27271216399987
11,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,502.29892691199984
12,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,546.3251416599999
13,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,590.3513564079999
14,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,634.3775711559999
15,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,678.403785904
16,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,722.430000652
17,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,766.4562154
18,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,810.482430148
19,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,854.5086448960001
20,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,898.5348596440001
21,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,942.5610743920001
22,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,986.5872891400002
23,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1030.6135038880002
24,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1074.6397186360002
25,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1118.6659333840003
